Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
4700132,Instituto de Educación Secundaria,Campos de Níjar,Público,"C/ Camino del Calvo, 43",4110,Níjar,Almería,201 km,1h 58 min
11006671,Instituto de Educación Secundaria,Zaframagón,Público,"Avda. Manuel de Falla, s/n",11690,Olvera,Cádiz,168 km,1h 58 min
14700535,Instituto de Educación Secundaria,Santa Rosa de Lima,Público,"C/ Ciudad de Carmona, s/n",14009,Córdoba,Córdoba,201 km,2h 1 min
29004158,Instituto de Educación Secundaria,Nueva Andalucía,Público,"C/ Quevedo, s/n",29660,Marbella,Málaga,192 km,2h 1 min
29010444,Instituto de Educación Secundaria,Vega de Mar,Público,"Finca La Granja, s/n. Zona Deportiva",29670,Marbella,Málaga,193 km,2h 2 min
14000707,Instituto de Educación Secundaria,El Tablero,Público,"Avda. de la Arruzafilla, s/n",14011,Córdoba,Córdoba,205 km,2h 3 min
14002996,Instituto de Educación Secundaria,López Neyra,Público,"Avda. del Mediterráneo, s/n",14011,Córdoba,Córdoba,204 km,2h 3 min
23700426,Instituto de Educación Secundaria,Cañada de las Fuentes,Público,"Ctra. de Huesa, 25",23480,Quesada,Jaén,145 km,2h 3 min
41002694,Instituto de Educación Secundaria,Isidro de Arcenegui y Carmona,Público,"C/ Cerro la Leva, s/n",41620,Marchena,Sevilla,204 km,2h 3 min
11701051,Instituto de Educación Secundaria,Villa de Setenil,Público,"C/ María Zambrano, 2",11692,Setenil de las Bodegas,Cádiz,168 km,2h 4 min
14007180,Instituto de Educación Secundaria,Blas Infante,Público,"Plaza Platero Pedro de Bares, 31 A",14007,Córdoba,Córdoba,206 km,2h 4 min
14700146,Instituto de Educación Secundaria,Fidiana,Público,"C/ Saturno, s/n",14014,Córdoba,Córdoba,204 km,2h 4 min
14700161,Instituto de Educación Secundaria,Medina Azahara,Público,Avda. Gran Vía Parque,14005,Córdoba,Córdoba,203 km,2h 4 min
14700559,Instituto de Educación Secundaria,Santa Catalina de Siena,Público,"C/ Fernando Camacho, 44",14014,Córdoba,Córdoba,204 km,2h 4 min
41701559,Instituto de Educación Secundaria,Europa,Público,"Avda. Santísima Trinidad, s/n",41600,Arahal,Sevilla,207 km,2h 4 min
14000321,Instituto de Educación Secundaria,El Sauce,Público,"C/ Punta del Sauce, 4",14100,La Carlota,Córdoba,206 km,2h 5 min
14007945,Instituto de Educación Secundaria,Trassierra,Público,"C/ San Hermenegildo, s/n",14011,Córdoba,Córdoba,205 km,2h 5 min
23001111,Instituto de Educación Secundaria,Castillo de la Yedra,Público,"C/ Cruz de Orea, 57",23470,Cazorla,Jaén,189 km,2h 5 min
41000557,Instituto de Educación Secundaria,Al-Ándalus,Público,"C/ Dalia, s/n",41600,Arahal,Sevilla,207 km,2h 5 min
14700286,Instituto de Educación Secundaria,Ángel de Saavedra,Público,"Avda. Virgen de las Angustias, s/n",14006,Córdoba,Córdoba,209 km,2h 6 min
14700730,Instituto de Educación Secundaria,Grupo Cántico,Público,"C/ Virgen de las Angustias, s/n",14006,Córdoba,Córdoba,209 km,2h 6 min
23700566,Instituto de Educación Secundaria,Virgen del Collado,Público,"Avda. de Andalucía, 6",23250,Santisteban del Puerto,Jaén,188 km,2h 6 min
29004080,Instituto de Educación Secundaria,Profesor Tomás Hormigo,Público,"C/ Lomas del Retamar, s/n",29688,Estepona,Málaga,199 km,2h 6 min
41008507,Instituto de Educación Secundaria,López de Arenas,Público,"C/ Sevilla, s/n",41620,Marchena,Sevilla,205 km,2h 6 min
14002923,Instituto de Educación Secundaria,Maimónides,Público,"C/ Alfonso XIII, 4",14001,Córdoba,Córdoba,204 km,2h 8 min
14700481,Instituto de Educación Secundaria,Puente de Alcolea,Público,"C/ Capricho, s/n",14610,Córdoba,Córdoba,213 km,2h 8 min
14002960,Instituto de Educación Secundaria,Luis de Góngora,Público,"C/ Diego de León, 2",14002,Córdoba,Córdoba,205 km,2h 9 min
29700230,Instituto de Educación Secundaria,Dr. Rodríguez Delgado,Público,"C/ Dolores Ibarruri, 2",29400,Ronda,Málaga,182 km,2h 10 min
41701924,Instituto de Educación Secundaria,Profesor Juan Antonio Carrillo Salcedo,Público,"C/ Cervantes, s/n",41530,Morón de la Frontera,Sevilla,204 km,2h 10 min
4001931,Instituto de Educación Secundaria,Valle del Almanzora,Público,"Avda. España, 33",4850,Cantoria,Almería,193 km,2h 11 min
29002885,Instituto de Educación Secundaria,Monterroso,Público,"Avda. Santo Tomás de Aquino, s/n",29680,Estepona,Málaga,212 km,2h 12 min
41000594,Instituto de Educación Secundaria,Nicolás Copérnico,Público,"Avda. Ronda de los Molinos, s/n",41400,Écija,Sevilla,181 km,2h 12 min
4000250,Instituto de Educación Secundaria,Cardenal Cisneros,Público,"Avda. de América, s/n",4800,Albox,Almería,198 km,2h 13 min
4005284,Instituto de Educación Secundaria,Martín García Ramos,Público,"Ctra. de la Estación, 8",4800,Albox,Almería,199 km,2h 13 min
29009119,Instituto de Educación Secundaria,Puerta del Mar,Público,C/ Eslovaquia S/N,29680,Estepona,Málaga,213 km,2h 13 min
29700035,Instituto de Educación Secundaria,Profesor Gonzalo Huesa,Público,"C/ San Vicente de Paul, s/n",29400,Ronda,Málaga,183 km,2h 14 min
29700953,Instituto de Educación Secundaria,Mediterráneo,Público,"C/ Melilla, 20",29680,Estepona,Málaga,213 km,2h 14 min
4005363,Instituto de Educación Secundaria,Al-Bujaira,Público,"Avda. Guillermo Reyna, 37",4600,Huércal-Overa,Almería,227 km,2h 15 min
23700645,Instituto de Educación Secundaria,Colegiata de Santiago,Público,"Ctra. de Sabiote, s/n",23260,Castellar,Jaén,199 km,2h 15 min
4002714,Instituto de Educación Secundaria,Cura Valera,Público,"Avda. Guillermo Reyna, 35",4600,Huércal-Overa,Almería,227 km,2h 16 min
41002955,Instituto de Educación Secundaria,Fray Bartolomé de las Casas,Público,"Plaza de la Alameda, s/n",41530,Morón de la Frontera,Sevilla,206 km,2h 16 min
14700304,Instituto de Educación Secundaria,Colonial,Público,"Avda. de la Constitución, 2",14120,Fuente Palmera,Córdoba,221 km,2h 17 min
4700053,Instituto de Educación Secundaria,Juan Goytisolo,Público,"C/ Joan Manuel Serrat, s/n",4140,Carboneras,Almería,225 km,2h 18 min
14005560,Instituto de Educación Secundaria,Aljanadic,Público,"C/ Almodóvar del Río, s/n",14730,Posadas,Córdoba,226 km,2h 20 min
41021627,Instituto de Educación Secundaria,Hienipa,Público,"Avda. Salud Gutiérrez, s/n",41500,Alcalá de Guadaíra,Sevilla,236 km,2h 20 min
41701341,Instituto de Educación Secundaria,María Inmaculada,Público,"C/ Nuestra Señora de los Reyes, s/n",41510,Mairena del Alcor,Sevilla,233 km,2h 20 min
41000284,Instituto de Educación Secundaria,Al-Guadaira,Público,"Avda. 28 de Febrero, s/n",41500,Alcalá de Guadaíra,Sevilla,238 km,2h 21 min
41700105,Instituto de Educación Secundaria,Albero,Público,"Avda. Tren de los Panaderos, 13",41500,Alcalá de Guadaíra,Sevilla,236 km,2h 21 min
41000272,Instituto de Educación Secundaria,Cristóbal de Monroy,Público,"Avda. de la Constitución, s/n",41500,Alcalá de Guadaíra,Sevilla,239 km,2h 22 min
41701845,Instituto de Educación Secundaria,El Coronil,Público,"C/ Poeta Miguel Benítez Castro, s/n",41760,El Coronil,Sevilla,230 km,2h 23 min
4004437,Instituto de Educación Secundaria,Alyanub,Público,"C/ Mayor, 58",4620,Vera,Almería,245 km,2h 24 min
4002052,Instituto de Educación Secundaria,Jaroso,Público,"Avda. Carlos Herrera, 25",4610,Cuevas del Almanzora,Almería,249 km,2h 25 min
41700154,Instituto de Educación Secundaria,Ponce de León,Público,"C/ Constelación Pavo Real, s/n",41710,Utrera,Sevilla,236 km,2h 25 min
4700341,Instituto de Educación Secundaria,Mar Serena,Público,"C/ Emilio Zurano, 22",4640,Pulpí,Almería,228 km,2h 26 min
4004978,Instituto de Educación Secundaria,El Palmeral,Público,"C/ Hemano Lázaro, s/n",4620,Vera,Almería,246 km,2h 26 min
41011014,Instituto de Educación Secundaria,Profesor Tierno Galván,Público,"C/ Reyes Católicos, s/n",41500,Alcalá de Guadaíra,Sevilla,239 km,2h 27 min
41007904,Instituto de Educación Secundaria,Virgen de Consolación,Público,"Paseo de Consolación, s/n",41710,Utrera,Sevilla,237 km,2h 28 min
4001497,Instituto de Educación Secundaria,Mediterráneo,Público,"Ctra. AL-153, Km 1¿5",4630,Garrucha,Almería,248 km,2h 29 min
11007791,Instituto de Educación Secundaria,Carlos Castilla del Pino,Público,"Avda. Castiella, 5",11360,San Roque,Cádiz,238 km,2h 29 min
41010824,Instituto de Educación Secundaria,Margarita Salas,Público,"C/ Flor de Papel, s/n",41020,Sevilla,Sevilla,247 km,2h 29 min
41701997,Instituto de Educación Secundaria,José María Infantes,Público,"C/ Jilguero, s/n",41710,Utrera,Sevilla,237 km,2h 29 min
41701912,Instituto de Educación Secundaria,Francisco Rivero,Público,"C/ Miguel Hernández, s/n",41750,Los Molares,Sevilla,236 km,2h 30 min
41000089,Instituto de Educación Secundaria,Miguel Servet,Público,"Paseo Miguel de Unamuno, 8",41020,Sevilla,Sevilla,250 km,2h 31 min
41014003,Instituto de Educación Secundaria,Chaves Nogales,Público,"C/ Doctora Navarro Rodríguez, s/n.",41020,Sevilla,Sevilla,248 km,2h 31 min
41701109,Instituto de Educación Secundaria,Ramón del Valle Inclán,Público,"C/ Doctor Palomares García, 2",41020,Sevilla,Sevilla,248 km,2h 31 min
41701754,Instituto de Educación Secundaria,Mariana de Pineda,Público,"C/ Mesina, s/n",41089,Dos Hermanas,Sevilla,251 km,2h 31 min
41701869,Instituto de Educación Secundaria,Ibn Jaldún,Público,"C/ Luis Cernuda, s/n",41700,Dos Hermanas,Sevilla,254 km,2h 31 min
41700181,Instituto de Educación Secundaria,Hermanos Machado,Público,"Avda. Vía Flaminia, s/n",41089,Dos Hermanas,Sevilla,252 km,2h 32 min
41001707,Instituto de Educación Secundaria,Virgen de Valme,Público,"Avda. Ramón y Cajal, s/n",41700,Dos Hermanas,Sevilla,255 km,2h 33 min
41702023,Instituto de Educación Secundaria,Cantely,Público,"C/ Almendro, s/n",41700,Dos Hermanas,Sevilla,254 km,2h 33 min
11005755,Instituto de Educación Secundaria,José Cadalso,Público,"Avda. Castiella, s/n",11360,San Roque,Cádiz,248 km,2h 34 min
11007545,Instituto de Educación Secundaria,Castillo de Matrera,Público,"C/ Sevilla, 16",11650,Villamartín,Cádiz,213 km,2h 34 min
14005298,Instituto de Educación Secundaria,Antonio Gala,Público,"Avda. de la Paz, s/n",14700,Palma del Río,Córdoba,209 km,2h 34 min
