Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
41011002,Instituto de Educación Secundaria,Ilipa Magna,Público,"Avda. de Andalucía, s/n",41200,Alcalá del Río,Sevilla,267 km,2h 49 min
41017673,Instituto de Educación Secundaria,Palomares,Público,"Avda. del Aljarafe, s/n",41928,Palomares del Río,Sevilla,270 km,2h 51 min
41700889,Instituto de Educación Secundaria,Delgado Brackenbury,Público,"Avda. Jesús Nazareno, s/n",41730,Las Cabezas de San Juan,Sevilla,265 km,2h 52 min
41701262,Instituto de Educación Secundaria,El Molinillo,Público,C/ Francisco Giner de los Rios,41210,Guillena,Sevilla,275 km,2h 53 min
41701663,Instituto de Educación Secundaria,Pino Rueda,Público,"Avda. de la Democracia, s/n",41806,Umbrete,Sevilla,275 km,2h 53 min
11006693,Instituto de Educación Secundaria,Las Cumbres,Público,"C/ Las Cumbres, s/n. Apdo. 38",11600,Ubrique,Cádiz,241 km,2h 54 min
14005663,Instituto de Educación Secundaria,Los Pedroches,Público,"C/ Marcos Redondo, s/n",14400,Pozoblanco,Córdoba,252 km,2h 54 min
14007684,Instituto de Educación Secundaria,Antonio María Calero,Público,"Avda. Marcos Redondo, s/n",14400,Pozoblanco,Córdoba,252 km,2h 54 min
41001461,Instituto de Educación Secundaria,Rodrigo Caro,Público,C/ Instituto nº2,41100,Coria del Río,Sevilla,272 km,2h 54 min
11700937,Instituto de Educación Secundaria,Guadalpeña,Público,"C/ Francia, s/n",11630,Arcos de la Frontera,Cádiz,237 km,2h 55 min
41017685,Instituto de Educación Secundaria,Almensilla,Público,"C/ Avenida de la Solidaridad, s/n",41111,Almensilla,Sevilla,278 km,2h 55 min
41001471,Instituto de Educación Secundaria,Caura,Público,"Cerro De San Juan, s/n",41100,Coria del Río,Sevilla,272 km,2h 56 min
41700920,Instituto de Educación Secundaria,Pepe Ruiz Vela,Público,"Avda. Aguas Santas, 114",41318,Villaverde del Río,Sevilla,276 km,2h 56 min
41701158,Instituto de Educación Secundaria,Cantillana,Público,"Bda. Pintor López Cabrera, s/n",41320,Cantillana,Sevilla,279 km,2h 56 min
11700858,Instituto de Educación Secundaria,Maestro Francisco Fatou,Público,"C/ Menéndez Pidal, 1",11600,Ubrique,Cádiz,243 km,2h 58 min
41701021,Instituto de Educación Secundaria,Gerena,Público,"C/ Maestro José Valdera Gil, s/n",41860,Gerena,Sevilla,280 km,2h 58 min
11006681,Instituto de Educación Secundaria,Ntra. Sra. de los Remedios,Público,"Avda. Herrera Oria, s/n",11600,Ubrique,Cádiz,243 km,2h 59 min
41701778,Instituto de Educación Secundaria,Lucus Solis,Público,"C/ Juan Antonio Santero, 2",41800,Sanlúcar la Mayor,Sevilla,283 km,3h 0 min
41702278,Instituto de Educación Secundaria,El Fontanal,Público,"Avda. Antonio Calvo Ruiz, 17",41740,Lebrija,Sevilla,281 km,3h 0 min
41701638,Instituto de Educación Secundaria,Al-Iscar,Público,"C/ Lagar, s/n",41808,Villanueva del Ariscal,Sevilla,276 km,3h 1 min
41702059,Instituto de Educación Secundaria,Laguna de Tollón,Público,"Avda. Blas Infante, s/n",41749,El Cuervo de Sevilla,Sevilla,286 km,3h 1 min
41701161,Instituto de Educación Secundaria,Heliche,Público,"C/ Tallista Luis Jiménez Espinosa, s/n",41804,Olivares,Sevilla,286 km,3h 2 min
41002359,Instituto de Educación Secundaria,Virgen del Castillo,Público,"Avda. Doctor José Viel, 1",41740,Lebrija,Sevilla,283 km,3h 3 min
41701641,Instituto de Educación Secundaria,Olontigi,Público,"C/ Santa María del Aljarafe, s/n",41849,Aznalcázar,Sevilla,287 km,3h 3 min
14004099,Instituto de Educación Secundaria,Jerez y Caballero,Público,"Paseo de la Constitución, 14",14270,Hinojosa del Duque,Córdoba,293 km,3h 5 min
21700563,Instituto de Educación Secundaria,El Valle,Público,"C/ Reyes Católicos, 28",21740,Hinojos,Huelva,297 km,3h 7 min
11700767,Instituto de Educación Secundaria,Seritium,Público,"Avda. Amsterdam, s/n",11406,Jerez de la Frontera,Cádiz,263 km,3h 8 min
41701298,Instituto de Educación Secundaria,Torre del Rey,Público,"Avda. Pío XII, s/n",41840,Pilas,Sevilla,293 km,3h 8 min
41702175,Instituto de Educación Secundaria,Aznalcóllar,Público,"C/ La Cruz, 92",41870,Aznalcóllar,Sevilla,291 km,3h 8 min
11700305,Instituto de Educación Secundaria,Pedro Sáinz de Andino,Público,"Paseo de la Playa, 19",11180,Alcalá de los Gazules,Cádiz,302 km,3h 9 min
11008483,Instituto de Educación Secundaria,José M. Caballero Bonald,Público,"C/ Ntra. Sra. del Traspaso, s/n",11406,Jerez de la Frontera,Cádiz,264 km,3h 10 min
11700585,Instituto de Educación Secundaria,Almadraba,Público,"C/ Diego Piñero Moreno, 1",11380,Tarifa,Cádiz,283 km,3h 10 min
21000693,Instituto de Educación Secundaria,Delgado Hernández,Público,"C/ Dalí, 1",21710,Bollullos Par del Condado,Huelva,311 km,3h 11 min
41701833,Instituto de Educación Secundaria,Castilblanco de los Arroyos,Público,"C/ Pablo Picasso, s/n",41230,Castilblanco de los Arroyos,Sevilla,287 km,3h 11 min
11003217,Instituto de Educación Secundaria,Alvar Núñez,Público,"C/ Sancho Dávila, s/n",11407,Jerez de la Frontera,Cádiz,266 km,3h 13 min
11008513,Instituto de Educación Secundaria,Andrés Benítez,Público,"C/ Doctor Fléming, s/n. Polígono de San Benito",11407,Jerez de la Frontera,Cádiz,266 km,3h 14 min
11700172,Instituto de Educación Secundaria,Santa Isabel de Hungría,Público,"C/ La Merced, 40",11404,Jerez de la Frontera,Cádiz,265 km,3h 14 min
21700423,Instituto de Educación Secundaria,San Antonio,Público,"C/ El Pendique, s/n",21710,Bollullos Par del Condado,Huelva,316 km,3h 14 min
41701456,Instituto de Educación Secundaria,Nuestra Señora del Rocío,Público,"C/ Francisco Bedoya, 29",41850,Villamanrique de la Condesa,Sevilla,299 km,3h 14 min
11701115,Instituto de Educación Secundaria,San Telmo,Público,"Bda. San Telmo, s/n",11408,Jerez de la Frontera,Cádiz,266 km,3h 15 min
11007387,Instituto de Educación Secundaria,Asta Regia,Público,"Avda. Moreno Mendoza, 4",11408,Jerez de la Frontera,Cádiz,267 km,3h 16 min
11701140,Instituto de Educación Secundaria,Sofía,Público,"C/ Doctor Marañón, 13",11407,Jerez de la Frontera,Cádiz,266 km,3h 16 min
21700599,Instituto de Educación Secundaria,Virgen del Socorro,Público,"C/ Hermanos Pinzón, s/n",21720,Rociana del Condado,Huelva,319 km,3h 16 min
21700460,Instituto de Educación Secundaria,La Palma,Público,"Paseo de los Estudiantes, s/n",21700,La Palma del Condado,Huelva,319 km,3h 17 min
21700061,Instituto de Educación Secundaria,Catedrático Pulido Rubio,Público,"C/ Consejero Montaner, s/n",21830,Bonares,Huelva,324 km,3h 18 min
11004672,Instituto de Educación Secundaria,Manuel de Falla,Público,"Avda. Palestina, s/n",11510,Puerto Real,Cádiz,287 km,3h 19 min
21700642,Instituto de Educación Secundaria,La Ribera,Público,"Avda. Che Guevara, s/n",21730,Almonte,Huelva,324 km,3h 19 min
21700654,Instituto de Educación Secundaria,Doñana,Público,"Avda. de la Juventud, s/n",21730,Almonte,Huelva,324 km,3h 19 min
11004696,Instituto de Educación Secundaria,Virgen del Carmen,Público,"Paseo  María Auxiliadora, s/n",11510,Puerto Real,Cádiz,286 km,3h 20 min
11700718,Instituto de Educación Secundaria,La Jarcia,Público,"C/ Ribera del Muelle, s/n",11510,Puerto Real,Cádiz,288 km,3h 20 min
21700459,Instituto de Educación Secundaria,Alfonso Romero Barcojo,Público,"C/ Venida de la Virgen, s/n",21840,Niebla,Huelva,325 km,3h 20 min
11700433,Instituto de Educación Secundaria,Profesor Antonio Muro,Público,"C/ Séneca, s/n",11510,Puerto Real,Cádiz,288 km,3h 21 min
41701948,Instituto de Educación Secundaria,Aníbal González,Público,"Bda. San Cristóbal, s/n",41360,El Pedroso,Sevilla,274 km,3h 22 min
11004039,Instituto de Educación Secundaria,Sidón,Público,"Avda. Azocarrem, s/n",11170,Medina-Sidonia,Cádiz,325 km,3h 23 min
11700445,Instituto de Educación Secundaria,José Luis Tejada Peluffo,Público,"Avda. Guardia Civil, 1",11500,El Puerto de Santa María,Cádiz,285 km,3h 23 min
11700688,Instituto de Educación Secundaria,San Severiano,Público,"Avda. San Severiano, 8",11007,Cádiz,Cádiz,294 km,3h 25 min
11700834,Instituto de Educación Secundaria,Las Banderas,Público,"Ctra. Sanlúcar, Km. 2,5",11500,El Puerto de Santa María,Cádiz,289 km,3h 25 min
21700371,Instituto de Educación Secundaria,Diego Rodríguez Estrada,Público,Avda. Andalucía,21610,San Juan del Puerto,Huelva,337 km,3h 25 min
11001828,Instituto de Educación Secundaria,Rafael Alberti,Público,"C/ Amiel, s/n",11012,Cádiz,Cádiz,295 km,3h 26 min
11700603,Instituto de Educación Secundaria,Pintor Juan Lara,Público,"Cmo. del Águila, 6",11500,El Puerto de Santa María,Cádiz,290 km,3h 26 min
11005241,Instituto de Educación Secundaria,Isla de León,Público,"Ctra. Carraca, s/n",11100,San Fernando,Cádiz,297 km,3h 27 min
21004169,Instituto de Educación Secundaria,Juan Ramón Jiménez,Público,"Avda. V Centenario, s/n",21800,Moguer,Huelva,343 km,3h 27 min
11006486,Instituto de Educación Secundaria,Fuerte de Cortadura,Público,"C/ Vía Augusta Julia, s/n",11011,Cádiz,Cádiz,296 km,3h 28 min
11700810,Instituto de Educación Secundaria,La Arboleda,Público,"Avda. Padre Ellacuría, 13",11500,El Puerto de Santa María,Cádiz,291 km,3h 28 min
11700871,Instituto de Educación Secundaria,Botánico,Público,"Avda. Pozo de las Vacas, s/n. Finca El Jardín Botánico",11540,Sanlúcar de Barrameda,Cádiz,317 km,3h 28 min
11004556,Instituto de Educación Secundaria,Cornelio Balbo,Público,"C/ Nuevo Mundo, s/n",11004,Cádiz,Cádiz,297 km,3h 29 min
11005287,Instituto de Educación Secundaria,Wenceslao Benítez,Público,"Avda. de la Armada, s/n. Apto. correos 141",11100,San Fernando,Cádiz,298 km,3h 29 min
11008239,Instituto de Educación Secundaria,Sancti Petri,Público,"Polígo La Magdalena, s/n",11100,San Fernando,Cádiz,300 km,3h 30 min
11700147,Instituto de Educación Secundaria,La Bahía,Público,"Avda. Constitución, s/n",11100,San Fernando,Cádiz,302 km,3h 31 min
11700615,Instituto de Educación Secundaria,Juan Sebastián Elcano,Público,"Plaza Escritor Eduardo Mendicuti, s/n",11540,Sanlúcar de Barrameda,Cádiz,318 km,3h 31 min
21003712,Instituto de Educación Secundaria,Fuentepiña,Público,"C/ Camino del Saladillo, s/n",21007,Huelva,Huelva,347 km,3h 31 min
21700401,Instituto de Educación Secundaria,Dolmen de Soto,Público,"C/ Sevilla, 4",21620,Trigueros,Huelva,344 km,3h 31 min
21001892,Instituto de Educación Secundaria,La Rábida,Público,"Avda. Manuel Siurot, 9",21004,Huelva,Huelva,349 km,3h 33 min
11004131,Instituto de Educación Secundaria,Caepionis,Público,"Avda. Doctor Félix Rodríguez de la Fuente, s/n",11550,Chipiona,Cádiz,300 km,3h 34 min
11700123,Instituto de Educación Secundaria,Huerta del Rosario,Público,"Callej  de los Frailes, s/n",11130,Chiclana de la Frontera,Cádiz,305 km,3h 34 min
11700354,Instituto de Educación Secundaria,Ciudad de Hércules,Público,"C/ Cuba, 2",11130,Chiclana de la Frontera,Cádiz,302 km,3h 34 min
11701188,Instituto de Educación Secundaria,San Lucas,Público,"Avda. Bajo de Guía, 2",11540,Sanlúcar de Barrameda,Cádiz,319 km,3h 34 min
21001909,Instituto de Educación Secundaria,Diego de Guzmán y Quesada,Público,"Avda. Manuel Siurot, 11",21004,Huelva,Huelva,349 km,3h 34 min
21001995,Instituto de Educación Secundaria,Alto Conquero,Público,"Avda. Manuel Siurot, 36",21002,Huelva,Huelva,349 km,3h 34 min
21003980,Instituto de Educación Secundaria,José Caballero,Público,"C/ Tráfico Pesado, s/n. Apdo. 1200",21004,Huelva,Huelva,349 km,3h 34 min
21700356,Instituto de Educación Secundaria,Estuaria,Público,"C/ Cortegana, 33",21006,Huelva,Huelva,349 km,3h 34 min
11004866,Instituto de Educación Secundaria,Castillo de Luna,Público,"C/ Navalcán, s/n",11520,Rota,Cádiz,298 km,3h 35 min
21001910,Instituto de Educación Secundaria,Alonso Sánchez,Público,"Avda. Pío XII, s/n",21004,Huelva,Huelva,350 km,3h 35 min
21001922,Instituto de Educación Secundaria,Pintor Pedro Gómez,Público,"Avda. Manuel Siurot, 40",21002,Huelva,Huelva,349 km,3h 35 min
21700393,Instituto de Educación Secundaria,Clara Campoamor,Público,"Avda. Pío XII, s/n",21006,Huelva,Huelva,350 km,3h 35 min
11007582,Instituto de Educación Secundaria,Pablo Ruiz Picasso,Público,"Avda. de la Diputación, s/n",11130,Chiclana de la Frontera,Cádiz,303 km,3h 36 min
11700883,Instituto de Educación Secundaria,La Pedrera Blanca,Público,"Callej  de la Pedrera, s/n",11130,Chiclana de la Frontera,Cádiz,307 km,3h 37 min
11007533,Instituto de Educación Secundaria,Arroyo Hondo,Público,"C/ Maestro  Manuel J. Casal Egea, 2",11520,Rota,Cádiz,300 km,3h 38 min
21700551,Instituto de Educación Secundaria,Juan Antonio Pérez Mercader,Público,"Blvar. del Ferrocarril, 2",21120,Aljaraque,Huelva,354 km,3h 38 min
21002951,Instituto de Educación Secundaria,Don Bosco,Público,"C/ Diputación, s/n",21600,Valverde del Camino,Huelva,343 km,3h 39 min
21003128,Instituto de Educación Secundaria,Carabelas,Público,"C/ Evaristo Domínguez, s/n",21810,Palos de la Frontera,Huelva,354 km,3h 40 min
21003165,Instituto de Educación Secundaria,Diego Angulo,Público,"Ctra. de Calañas, s/n",21600,Valverde del Camino,Huelva,343 km,3h 40 min
21700381,Instituto de Educación Secundaria,San Blas,Público,"Plaza Doña Elvira Embid, s/n",21200,Aracena,Huelva,340 km,3h 43 min
21000899,Instituto de Educación Secundaria,Rafael Reyes,Público,"Ctra. Huelva-Ayamonte, s/n",21450,Cartaya,Huelva,370 km,3h 45 min
21700435,Instituto de Educación Secundaria,Mapi Valle,Público,"C/ Miguel Ángel, s/n",21450,Cartaya,Huelva,370 km,3h 45 min
11700949,Instituto de Educación Secundaria,Vicente Aleixandre,Público,"Bda. El Pinar, s/n",11160,Barbate,Cádiz,331 km,3h 46 min
11000824,Instituto de Educación Secundaria,Trafalgar,Público,"C/ Madrid, 4",11160,Barbate,Cádiz,331 km,3h 47 min
21003074,Instituto de Educación Secundaria,Bitácora,Público,"C/ Séneca, 18",21100,Punta Umbría,Huelva,368 km,3h 47 min
21002975,Instituto de Educación Secundaria,Odón Betanzos Palacios,Público,"Avda. Santa Clara, s/n",21130,Moguer,Huelva,364 km,3h 48 min
21700307,Instituto de Educación Secundaria,Saltés,Público,"C/ Pintor José Caballero, s/n",21100,Punta Umbría,Huelva,368 km,3h 48 min
21700630,Instituto de Educación Secundaria,La Arboleda,Público,"Avda. de la Arboleda, s/n",21440,Lepe,Huelva,380 km,3h 50 min
21000310,Instituto de Educación Secundaria,La Alborá,Público,"Avda. Pedro Carrasco, s/n",21520,Alosno,Huelva,383 km,3h 57 min
21700502,Instituto de Educación Secundaria,Guadiana,Público,"C/ Doctor Severo Ochoa, s/n",21400,Ayamonte,Huelva,394 km,3h 57 min
21700411,Instituto de Educación Secundaria,José Antonio Fernández Muriel,Público,Ctra. de Circunvalación Huelva-Ayamonte,21440,Lepe,Huelva,395 km,3h 59 min
21700587,Instituto de Educación Secundaria,San Miguel,Público,"C/ Libertad, 2",21290,Jabugo,Huelva,359 km,3h 59 min
